Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
815	0.263804	185	0.481081	1.997076	815	0.263804	0.304000	0.298213	
802	0.228180	198	0.510101	1.997076	802	0.228180	0.284000	0.298126	
838	0.284010	162	0.555556	1.997076	838	0.284010	0.328000	0.298307	
845	0.269822	155	0.393548	1.997076	845	0.269822	0.289000	0.298251	
830	0.283133	170	0.523529	1.997076	830	0.283133	0.324000	0.298405	
815	0.287117	185	0.502703	1.997076	815	0.287117	0.327000	0.298576	
835	0.263473	165	0.503030	1.997076	835	0.263473	0.303000	0.298602	
810	0.250617	190	0.505263	1.997076	810	0.250617	0.299000	0.298604	
836	0.287081	164	0.451220	1.997076	836	0.287081	0.314000	0.298694	
799	0.265332	201	0.313433	1.997076	799	0.265332	0.275000	0.298556	
816	0.224265	184	0.505435	1.997076	816	0.224265	0.276000	0.298426	
818	0.239609	182	0.538462	1.997076	818	0.239609	0.294000	0.298401	
827	0.252721	173	0.508671	1.997076	827	0.252721	0.297000	0.298393	
834	0.244604	166	0.506024	1.997076	834	0.244604	0.288000	0.298334	
798	0.295739	202	0.440594	1.997076	798	0.295739	0.325000	0.298484	
844	0.260664	156	0.500000	1.997076	844	0.260664	0.298000	0.298481	
839	0.269368	161	0.465839	1.997076	839	0.269368	0.301000	0.298496	
822	0.248175	178	0.505618	1.997076	822	0.248175	0.294000	0.298471	
800	0.277500	200	0.445000	1.997076	800	0.277500	0.311000	0.298540	
816	0.236520	184	0.516304	1.997076	816	0.236520	0.288000	0.298482	
827	0.299879	173	0.410405	1.997076	827	0.299879	0.319000	0.298594	
797	0.245922	203	0.517241	1.997076	797	0.245922	0.301000	0.298607	
816	0.278186	184	0.407609	1.997076	816	0.278186	0.302000	0.298625	
829	0.265380	171	0.467836	1.997076	829	0.265380	0.300000	0.298633	
827	0.298670	173	0.514451	1.997076	827	0.298670	0.336000	0.298833	
833	0.229292	167	0.485030	1.997076	833	0.229292	0.272000	0.298690	
815	0.249080	185	0.529730	1.997076	815	0.249080	0.301000	0.298702	
823	0.246659	177	0.644068	1.997076	823	0.246659	0.317000	0.298798	
838	0.262530	162	0.296296	1.997076	838	0.262530	0.268000	0.298637	
845	0.227219	155	0.548387	1.997076	845	0.227219	0.277000	0.298524	
830	0.240964	170	0.535294	1.997076	830	0.240964	0.291000	0.298486	
845	0.250888	155	0.451613	1.997076	845	0.250888	0.282000	0.298401	
830	0.274699	170	0.452941	1.997076	830	0.274699	0.305000	0.298434	
843	0.245552	157	0.439490	1.997076	843	0.245552	0.276000	0.298320	
814	0.260442	186	0.413978	1.997076	814	0.260442	0.289000	0.298273	
821	0.291108	179	0.497207	1.997076	821	0.291108	0.328000	0.298423	
822	0.283455	178	0.308989	1.997076	822	0.283455	0.288000	0.298370	
845	0.235503	155	0.438710	1.997076	845	0.235503	0.267000	0.298214	
852	0.276995	148	0.567568	1.997076	852	0.276995	0.320000	0.298322	
837	0.295102	163	0.588957	1.997076	837	0.295102	0.343000	0.298543	
831	0.283995	169	0.532544	1.997076	831	0.283995	0.326000	0.298678	
836	0.240431	164	0.579268	1.997076	836	0.240431	0.296000	0.298665	
845	0.255621	155	0.412903	1.997076	845	0.255621	0.280000	0.298574	
828	0.287440	172	0.482558	1.997076	828	0.287440	0.321000	0.298683	
817	0.268054	183	0.475410	1.997076	817	0.268054	0.306000	0.298718	
820	0.239024	180	0.511111	1.997076	820	0.239024	0.288000	0.298667	
803	0.262765	197	0.517766	1.997076	803	0.262765	0.313000	0.298735	
809	0.291718	191	0.366492	1.997076	809	0.291718	0.306000	0.298770	
833	0.272509	167	0.526946	1.997076	833	0.272509	0.315000	0.298847	
827	0.227328	173	0.606936	1.997076	827	0.227328	0.293000	0.298819	
809	0.292954	191	0.518325	1.997076	809	0.292954	0.336000	0.298994	
821	0.280146	179	0.486034	1.997076	821	0.280146	0.317000	0.299078	
823	0.278250	177	0.468927	1.997076	823	0.278250	0.312000	0.299138	
816	0.295343	184	0.336957	1.997076	816	0.295343	0.303000	0.299156	
804	0.269900	196	0.428571	1.997076	804	0.269900	0.301000	0.299165	
825	0.226667	175	0.502857	1.997076	825	0.226667	0.275000	0.299054	
824	0.257282	176	0.471591	1.997076	824	0.257282	0.295000	0.299035	
837	0.287933	163	0.546012	1.997076	837	0.287933	0.330000	0.299176	
827	0.269649	173	0.514451	1.997076	827	0.269649	0.312000	0.299234	
824	0.274272	176	0.454545	1.997076	824	0.274272	0.306000	0.299264	
821	0.258222	179	0.541899	1.997076	821	0.258222	0.309000	0.299308	
829	0.281062	171	0.497076	1.997076	829	0.281062	0.318000	0.299392	
836	0.250000	164	0.426829	1.997076	836	0.250000	0.279000	0.299301	
795	0.289308	205	0.497561	1.997076	795	0.289308	0.332000	0.299446	
849	0.248528	151	0.562914	1.997076	849	0.248528	0.296000	0.299430	
846	0.251773	154	0.590909	1.997076	846	0.251773	0.304000	0.299450	
841	0.266350	159	0.421384	1.997076	841	0.266350	0.291000	0.299414	
819	0.249084	181	0.486188	1.997076	819	0.249084	0.292000	0.299381	
827	0.235792	173	0.421965	1.997076	827	0.235792	0.268000	0.299245	
812	0.264778	188	0.515957	1.997076	812	0.264778	0.312000	0.299300	
836	0.238038	164	0.579268	1.997076	836	0.238038	0.294000	0.299278	
801	0.288390	199	0.462312	1.997076	801	0.288390	0.323000	0.299379	
834	0.263789	166	0.560241	1.997076	834	0.263789	0.313000	0.299437	
808	0.243812	192	0.411458	1.997076	808	0.243812	0.276000	0.299338	
827	0.280532	173	0.554913	1.997076	827	0.280532	0.328000	0.299459	
834	0.261391	166	0.530120	1.997076	834	0.261391	0.306000	0.299486	
844	0.298578	156	0.423077	1.997076	844	0.298578	0.318000	0.299564	
827	0.257557	173	0.578035	1.997076	827	0.257557	0.313000	0.299620	
847	0.276269	153	0.549020	1.997076	847	0.276269	0.318000	0.299696	
848	0.292453	152	0.611842	1.997076	848	0.292453	0.341000	0.299867	
826	0.280872	174	0.557471	1.997076	826	0.280872	0.329000	0.299986	
798	0.285714	202	0.386139	1.997076	798	0.285714	0.306000	0.300011	
832	0.274038	168	0.410714	1.997076	832	0.274038	0.297000	0.299999	
808	0.247525	192	0.494792	1.997076	808	0.247525	0.295000	0.299978	
817	0.253366	183	0.426230	1.997076	817	0.253366	0.285000	0.299918	
833	0.249700	167	0.514970	1.997076	833	0.249700	0.294000	0.299894	
